OBJECTID,state,phone,latitude,longitude,type_facility,category_code,category_name,service_code
1,MA,781-388-6253,42.403952,-71.048669,mental health,OL,Other Languages,F31
2,MA,617-522-4400,42.315774,-71.112267,mental health,TAP,Treatment Approaches,TT
3,MA,617-442-1499,42.333552,-71.066622,substance abuse,TAP,Treatment Approaches,MOTI
4,MA,508-640-0011,42.0493431,-71.8826025,mental health,TAP,Treatment Approaches,IPT
5,MA,413-585-8390,42.322022,-72.628051,substance abuse,TAP,Treatment Approaches,TRC
6,MA,413-532-9446,42.187908,-72.637378,mental health,PAY,Payment/Insurance Accepted,MC
7,MA,978-682-9222,42.690993,-71.155126,mental health,OL,Other Languages,SP
8,MA,413-737-1426,42.0940103,-72.5741778,mental health,AGE,Age Groups Accepted,YAD
9,MA,508-775-0275,41.68258,-70.288663,mental health,TAP,Treatment Approaches,TT
10,MA,508-459-1801,42.252987,-71.796087,substance abuse,OL,Other Languages,SP
11,MA,413-781-6485,42.109738,-72.573636,mental health,TC,Type of Care,MH
12,MA,617-524-1120,42.310124,-71.106735,mental health,OL,Other Languages,SP
13,MA,978-737-7272,42.5588042,-71.1368634,substance abuse,OL,Other Languages,SP
14,MA,978-373-7010 x236,42.777227,-71.071475,mental health,OL,Other Languages,F4
15,MA,978-352-2131,42.704479,-71.009454,mental health,AGE,Age Groups Accepted,ADLT
16,MA,781-631-8273,42.484094,-70.880171,mental health,TAP,Treatment Approaches,GT
17,MA,508-830-1630,41.959087,-70.703113,mental health,TAP,Treatment Approaches,TT
18,MA,617-855-3141,42.3942245,-71.1913762,mental health,AGE,Age Groups Accepted,YAD
19,MA,781-744-5100,42.4845858,-71.204996,mental health,FT,Facility Type,OMH
20,MA,413-341-1787,42.5920488,-72.6041819,substance abuse,AS,Ancillary Services,HIVT
21,MA,413-734-5376,42.113315,-72.577597,mental health,TAP,Treatment Approaches,TT
22,MA,413-528-9156,42.1976093,-73.35787,substance abuse,TC,Type of Care,BU
23,MA,413-629-1130,42.1976093,-73.35787,mental health,TC,Type of Care,MH
24,MA,413-528-0535,42.23469,-73.345782,mental health,TC,Type of Care,MH
25,MA,413-532-1456 x301,42.2090591,-72.6186232,mental health,AGE,Age Groups Accepted,YAD
26,MA,413-298-5511,42.283076,-73.313441,mental health,OL,Other Languages,F4
27,MA,413-528-1804,42.176256,-73.241792,mental health,TC,Type of Care,MH
28,MA,413-637-2845,42.3950499,-73.2853978,mental health,TC,Type of Care,MH
29,MA,413-236-5656,42.415812,-73.261059,mental health,TAP,Treatment Approaches,PTM
30,MA,413-499-0412,42.4490963,-73.2553923,mental health,TC,Type of Care,MH
31,MA,413-499-2756,42.4548611,-73.2561118,substance abuse,PF,Primary Focus of the Provider,SAF
32,MA,413-236-5656 x6002,42.445883,-73.253591,mental health,TC,Type of Care,MH
33,MA,413-442-4003,42.4506927,-73.2535147,mental health,TC,Type of Care,MH
34,MA,413-584-4040 x6300,42.451429,-73.251971,mental health,SMP,Facility Smoking Policy,SMON
35,MA,413-499-0412 x1222,42.449967,-73.248189,substance abuse,PF,Primary Focus of the Provider,MHSAF
36,MA,413-448-6150,42.449941,-73.247747,mental health,TC,Type of Care,MH
37,MA,413-442-1400,42.459638,-73.2492284,substance abuse,TC,Type of Care,DB
38,MA,413-447-2000,42.459638,-73.2492284,mental health,TC,Type of Care,MH
39,MA,413-442-0402 x765,42.4580497,-73.210879,substance abuse,PF,Primary Focus of the Provider,SAF
40,MA,413-664-9024,42.6688647,-73.1075223,substance abuse,AS,Ancillary Services,STU
41,MA,413-664-5540,42.7058896,-73.108404,substance abuse,GN,Gender Accepted,MALE
42,MA,413-664-4541,42.6965808,-73.1123305,mental health,TC,Type of Care,MH
43,MA,413-667-3009,42.224499,-72.870966,substance abuse,TC,Type of Care,SA
