OBJECTID,state,phone,intake_prompt,hotline_prompt,latitude,longitude,type_facility,service,category_code,category_name,service_code
1,MA,617-442-1499,,,42.333552,-71.066622,substance abuse,Methadone maintenance,TC,Type of Care,MM
2,MA,413-528-9156,,,42.1976093,-73.35787,substance abuse,Outpatient methadone/buprenorphine or naltrexone,SET,"Service Setting (e.g., Outpatient, Residential, etc.)",OMB
3,MA,413-499-0412,,,42.4481344,-73.2470997,substance abuse,Outpatient methadone/buprenorphine or naltrexone,SET,"Service Setting (e.g., Outpatient, Residential, etc.)",OMB
4,MA,413-442-1400,,,42.459638,-73.2492284,substance abuse,Methadone maintenance for predetermined time,TC,Type of Care,MMW
5,MA,413-442-0402 x765,,,42.4580497,-73.210879,substance abuse,Methadone maintenance,TC,Type of Care,MM
6,MA,413-664-9024,,,42.6688647,-73.1075223,substance abuse,Methadone maintenance,TC,Type of Care,MM
7,MA,413-664-4541,,,42.6965808,-73.1123305,substance abuse,Outpatient methadone/buprenorphine or naltrexone,SET,"Service Setting (e.g., Outpatient, Residential, etc.)",OMB
8,MA,413-568-6600,,,42.13425,-72.740168,substance abuse,Methadone maintenance,TC,Type of Care,MM
9,MA,413-584-4040 x2600,,,42.3471472,-72.6859614,substance abuse,Outpatient methadone/buprenorphine or naltrexone,SET,"Service Setting (e.g., Outpatient, Residential, etc.)",OMB
10,MA,413-539-2973,,,42.165342,-72.635571,substance abuse,Methadone maintenance,TC,Type of Care,MM
11,MA,413-539-2487,,,42.165342,-72.635571,substance abuse,Methadone,TC,Type of Care,METH
12,MA,413-536-5111 x2984,Intakes,,42.1662091,-72.6335126,substance abuse,Methadone maintenance,TC,Type of Care,MM
13,MA,413-341-1787,,,42.0954146,-72.6127596,substance abuse,Outpatient methadone/buprenorphine or naltrexone,SET,"Service Setting (e.g., Outpatient, Residential, etc.)",OMB
14,MA,413-746-0051 x3182,,,42.1327298,-72.6132647,substance abuse,Methadone maintenance,TC,Type of Care,MM
15,MA,413-733-3488 x1200,,,42.110243,-72.601626,substance abuse,Methadone maintenance for predetermined time,TC,Type of Care,MMW
16,MA,413-733-1431,Intakes,,42.114066,-72.596654,substance abuse,Methadone,TC,Type of Care,METH
17,MA,413-584-2404,,,42.312853,-72.6249309,substance abuse,Outpatient methadone/buprenorphine or naltrexone,SET,"Service Setting (e.g., Outpatient, Residential, etc.)",OMB
18,MA,413-536-5111,,,42.092917,-72.572838,substance abuse,Methadone maintenance,TC,Type of Care,MM
19,MA,413-774-3321,Intakes,,42.587589,-72.621546,substance abuse,Methadone maintenance,TC,Type of Care,MM
20,MA,413-223-5072,,,42.6006204,-72.5942336,substance abuse,Methadone maintenance,TC,Type of Care,MM
21,MA,413-370-5285,,,42.1694156,-72.341697,substance abuse,Outpatient methadone/buprenorphine or naltrexone,SET,"Service Setting (e.g., Outpatient, Residential, etc.)",OMB
22,MA,978-452-5155 x201,,,42.6232277,-71.350935,substance abuse,Methadone maintenance,TC,Type of Care,MM
23,MA,508-765-2725,,,42.074344,-72.031125,substance abuse,Outpatient methadone/buprenorphine or naltrexone,SET,"Service Setting (e.g., Outpatient, Residential, etc.)",OMB
24,MA,508-765-5940,Intakes,,42.071155,-72.023588,substance abuse,Methadone maintenance,TC,Type of Care,MM
25,MA,508-943-2944,,,42.0421758,-71.9076926,substance abuse,Outpatient methadone/buprenorphine or naltrexone,SET,"Service Setting (e.g., Outpatient, Residential, etc.)",OMB
26,MA,508-860-1237,,,42.259911,-71.814511,substance abuse,Methadone detoxification,TC,Type of Care,DM
27,MA,508-860-1260,,,42.259774,-71.814455,substance abuse,Outpatient methadone/buprenorphine or naltrexone,SET,"Service Setting (e.g., Outpatient, Residential, etc.)",OMB
28,MA,508-797-6100,Intakes,,42.26598923,-71.81316218,substance abuse,Methadone maintenance,TC,Type of Care,MM
29,MA,508-799-9000,Intakes,,42.2763289,-71.7948348,substance abuse,Methadone detoxification,TC,Type of Care,DM
30,MA,508-854-3320 x1166,,,42.2962808,-71.7689518,substance abuse,Methadone maintenance,TC,Type of Care,MM
31,MA,978-343-6300,,,42.5647388,-71.7739287,substance abuse,Outpatient methadone/buprenorphine or naltrexone,SET,"Service Setting (e.g., Outpatient, Residential, etc.)",OMB
32,MA,978-466-3820,,,42.5260568,-71.7551845,substance abuse,Methadone,TC,Type of Care,METH
33,MA,508-898-1570 x2197,Intakes,,42.2853361,-71.6274632,substance abuse,Methadone,TC,Type of Care,METH
34,MA,508-898-1570,Intakes,,42.2853361,-71.6274632,substance abuse,Methadone maintenance,TC,Type of Care,MM
35,MA,844-800-6372,,,42.2854737,-71.6267893,substance abuse,Methadone maintenance,TC,Type of Care,MM
36,MA,508-634-1877,Intakes,,42.150897,-71.501077,substance abuse,Methadone maintenance,TC,Type of Care,MM
37,MA,508-875-5801,Intakes,,42.279063,-71.418366,substance abuse,Methadone maintenance,TC,Type of Care,MM
38,MA,508-661-2020,,,42.2769392,-71.4137942,substance abuse,Outpatient methadone/buprenorphine or naltrexone,SET,"Service Setting (e.g., Outpatient, Residential, etc.)",OMB
39,MA,508-668-3223,,,42.143783,-71.25257,substance abuse,Outpatient methadone/buprenorphine or naltrexone,SET,"Service Setting (e.g., Outpatient, Residential, etc.)",OMB
40,MA,508-235-5010 x4019,Intakes,,41.6907771,-71.165154,substance abuse,Outpatient methadone/buprenorphine or naltrexone,SET,"Service Setting (e.g., Outpatient, Residential, etc.)",OMB
41,MA,781-290-4970,,,42.383622,-71.266143,substance abuse,Methadone maintenance,TC,Type of Care,MM
42,MA,978-322-8848,,,42.6421816,-71.3114673,substance abuse,Outpatient methadone/buprenorphine or naltrexone,SET,"Service Setting (e.g., Outpatient, Residential, etc.)",OMB
43,MA,978-937-9700 x6730,Intakes,,42.642182,-71.311467,substance abuse,Outpatient methadone/buprenorphine or naltrexone,SET,"Service Setting (e.g., Outpatient, Residential, etc.)",OMB
44,MA,508-676-1307 x121,Intakes,,41.6979917,-71.1464517,substance abuse,Methadone maintenance,TC,Type of Care,MM
45,MA,800-838-6331 x2580,,,42.505452,-71.270692,substance abuse,Outpatient methadone/buprenorphine or naltrexone,SET,"Service Setting (e.g., Outpatient, Residential, etc.)",OMB
46,MA,508-235-7037,Intakes,,41.7151566,-71.1363158,substance abuse,Methadone,TC,Type of Care,METH
47,MA,508-324-3500,Intakes,,41.7151566,-71.1363158,substance abuse,Outpatient methadone/buprenorphine or naltrexone,SET,"Service Setting (e.g., Outpatient, Residential, etc.)",OMB
48,MA,508-324-3500 x3265,Intakes,,41.7151566,-71.1363158,substance abuse,Methadone detoxification,TC,Type of Care,DM
49,MA,617-916-5069,,,42.362693,-71.1909286,substance abuse,Outpatient methadone/buprenorphine or naltrexone,SET,"Service Setting (e.g., Outpatient, Residential, etc.)",OMB
50,MA,800-906-9531,,,42.3942245,-71.1913762,substance abuse,Methadone maintenance,TC,Type of Care,MM
51,MA,978-259-7000 x7005,,,42.612167,-71.216872,substance abuse,Methadone detoxification,TC,Type of Care,DM
52,MA,978-259-7000,Intakes,,42.6121671,-71.2168703,substance abuse,Methadone maintenance,TC,Type of Care,MM
53,MA,888-750-5308,Intakes,,41.9019131,-71.089941,substance abuse,Methadone maintenance,TC,Type of Care,MM
54,MA,781-646-3800,,,42.3636325,-71.1624482,substance abuse,Outpatient methadone/buprenorphine or naltrexone,SET,"Service Setting (e.g., Outpatient, Residential, etc.)",OMB
55,MA,617-469-0300 x3302,Intakes,,42.2983204,-71.1493329,substance abuse,Methadone maintenance,TC,Type of Care,MM
56,MA,339-368-7696,,,42.3442238,-71.143369,substance abuse,Outpatient methadone/buprenorphine or naltrexone,SET,"Service Setting (e.g., Outpatient, Residential, etc.)",OMB
57,MA,617-254-1271,Intakes,,42.3489571,-71.1426625,substance abuse,Methadone maintenance,TC,Type of Care,MM
58,MA,617-983-7474,,,42.301563,-71.128149,substance abuse,Use methadone/buprenorphine for pain management or emergency dosing,TC,Type of Care,PAIN
59,MA,617-782-6460,,,42.351817,-71.127759,substance abuse,Outpatient methadone/buprenorphine or naltrexone,SET,"Service Setting (e.g., Outpatient, Residential, etc.)",OMB
60,MA,617-661-0405 x117,,,42.400025,-71.130306,substance abuse,Outpatient methadone/buprenorphine or naltrexone,SET,"Service Setting (e.g., Outpatient, Residential, etc.)",OMB
61,MA,617-661-5700,,,42.400025,-71.130306,substance abuse,Methadone maintenance,TC,Type of Care,MM
62,MA,857-273-3923,,,42.3150832,-71.1114185,substance abuse,Outpatient methadone/buprenorphine or naltrexone,SET,"Service Setting (e.g., Outpatient, Residential, etc.)",OMB
63,MA,617-202-9222,,,42.344372,-71.1148571,substance abuse,Outpatient methadone/buprenorphine or naltrexone,SET,"Service Setting (e.g., Outpatient, Residential, etc.)",OMB
64,MA,617-524-1120,Intakes,,42.310124,-71.106735,substance abuse,Outpatient methadone/buprenorphine or naltrexone,SET,"Service Setting (e.g., Outpatient, Residential, etc.)",OMB
65,MA,781-932-8114,,,42.5107089,-71.1410214,substance abuse,Outpatient methadone/buprenorphine or naltrexone,SET,"Service Setting (e.g., Outpatient, Residential, etc.)",OMB
66,MA,617-983-6047,,,42.3109211,-71.10403,substance abuse,Outpatient methadone/buprenorphine or naltrexone,SET,"Service Setting (e.g., Outpatient, Residential, etc.)",OMB
67,MA,617-541-3670,,,42.299581,-71.1017916,substance abuse,Outpatient methadone/buprenorphine or naltrexone,SET,"Service Setting (e.g., Outpatient, Residential, etc.)",OMB
68,MA,617-355-2727,,,42.3373982,-71.104968,substance abuse,Outpatient methadone/buprenorphine or naltrexone,SET,"Service Setting (e.g., Outpatient, Residential, etc.)",OMB
69,MA,978-687-6300,,,42.7023349,-71.1691894,substance abuse,Methadone maintenance,TC,Type of Care,MM
70,MA,617-591-6051,,,42.384934,-71.106044,substance abuse,Outpatient methadone/buprenorphine or naltrexone,SET,"Service Setting (e.g., Outpatient, Residential, etc.)",OMB
71,MA,617-267-0900,,,42.3440365,-71.0988961,substance abuse,Outpatient methadone/buprenorphine or naltrexone,SET,"Service Setting (e.g., Outpatient, Residential, etc.)",OMB
